Date,Site,Chamber,Air Temp,T1,T2,T_ave,WT depth (tube),Surface to tube height,Actual_WT,H1,H2,H3,H4,Height average,Extension,Havg_cm,Chamber V,Licor on,Licor off,H2 Time,CH4 processed,H2 processed,Merge,Notes,Data Merge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2025,AC,10,,14,13.1,13.55,77.5,39,38.5,19.5,14,18,19.5,17.75,21.5,39.25,0.04451,12:48:00,13:06:00,13:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2025,WH,1,,13.6,13.4,13.5,37,25,12,11.5,12,10,13,11.625,21.5,33.125,0.03757,12:09:00,12:20:00,,,,,C 6 - messed up on sample O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2025,WH,2,,12.9,13.2,13.05,,,NA,11.5,8.4,6.1,4,7.5,21.5,29,0.03289,11:34:00,11:49:00,,Y,Y,Y,C 7 - tall heather in chamber. Check results and see whether to cut down ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2025,WH,3,,13.1,13,13.05,,,NA,14.4,7.2,13.5,7,10.525,21.5,32.025,0.03632,11:51:00,12:03:00,,,,,Chambers measured for the first time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2025,WH,4,,12.6,12.8,12.7,,,NA,10,9,14,18,12.75,21.5,34.25,0.03884,11:22:00,11:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2025,WH,5,,13.2,13.3,13.25,,,NA,10.5,14,12,18,13.625,21.5,35.125,0.03984,11:04:00,11:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2025,WH,6,,12.8,12.4,12.6,42.2,21.5,20.7,18,14.5,13,16.5,15.5,21.5,37,0.04196,12:41:00,12:52:00,,,,,CH4 processed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2025,WH,7,,13.5,12.5,13,48,23.5,24.5,10,8,16,13,11.75,21.5,33.25,0.03771,12:25:00,12:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2025,WH,8,,,,NA,,,NA,10,14.5,10,9,10.875,21.5,32.375,0.03672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2025,WH,9,,,,NA,,,NA,16,17.8,18,13,16.2,21.5,37.7,0.04276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
